item,amount,room,details
локальный кофеварка кафедры,2,3206,за занавеской
шумящий энергетический кристалл (почти работает),3,177,в коробке на подоконнике
самообновляющийся пылесос для мыслей,19,3654,на подоконнике
резиновый доска,7,4426,
интерактивный пульт управления хаосом,2,4743,на подоконнике
сломанный микрофон-невидимка,6,2396,рядом с розеткой
квантовый ноутбук-призрак,13,228,на подоконнике
резиновый лампа,19,2551,под потолком
оптимистичный пакет загадок,5,4528,
параллельный коробка с голосами,2,742,на подоконнике
антикварный забытый бутерброд,11,3680,на кафедре
оптимистичный соковыжималка идей,11,5128,под столом
хаотический робот-ассистент,16,5294,у доски
оптимистичный микрофон-невидимка,14,3014,в шкафу
оптимистичный дрон наблюдения за лекцией,3,4899,на кафедре
антикварный забытый бутерброд,3,2519,в углу аудитории
квантовый кофеварка кафедры,13,1363,рядом с розеткой
антикварный кресло,1,3054,в углу аудитории
интерактивный кабель HDMI-невидимка,4,3743,в шкафу
депрессивный лампа,15,815,внутри вентиляции
депрессивный коробка с голосами,4,4644,под столом
антикварный кабель HDMI-невидимка,20,834,на кафедре
сингулярный кофеварка кафедры,10,2757,под потолком
резиновый маркер,19,3276,внутри вентиляции
оптимистичный дрон наблюдения за лекцией,6,1489,в шкафу
интерактивный учебник по квантовой философии,16,2302,в шкафу
депрессивный лампа,9,618,под потолком
антикварный пульт управления хаосом,12,2555,в углу аудитории
локальный карта несуществующих аудиторий,20,2120,на кафедре
магнитный плакат мотивации,5,1701,в углу аудитории
самообновляющийся кофеварка кафедры,20,155,под потолком
самообновляющийся плакат мотивации,14,2799,за занавеской
голографический стол,11,4969,на кафедре
самообновляющийся пульт управления хаосом,6,1745,под потолком
локальный учебник по квантовой философии,19,2714,у доски
интерактивный кофеварка кафедры,13,2769,рядом с розеткой
забытый бутылка времени,19,1032,внутри вентиляции
сингулярный дрон наблюдения за лекцией,15,1573,
голографический плакат мотивации,3,1817,под потолком
голографический стол,8,4190,в углу аудитории
депрессивный энергетический кристалл (почти работает),13,1362,на подоконнике
локальный соковыжималка идей,19,3778,под потолком
депрессивный коробка с голосами,18,4477,под столом
антикварный энергетический кристалл (почти работает),4,3045,у доски
сломанный лампа,19,3008,за занавеской
самообновляющийся кофеварка кафедры,14,5398,на подоконнике
интерактивный кресло,8,186,внутри вентиляции
резиновый микрофон-невидимка,15,4349,рядом с розеткой
университетский плакат мотивации,5,3304,рядом с розеткой
магнитный пульт управления хаосом,10,301,под потолком
квантовый кресло,12,803,в углу аудитории
забытый плакат мотивации,17,2910,в коробке на подоконнике
магнитный пульт управления хаосом,15,2953,
антикварный пакет загадок,10,3806,под столом
самообновляющийся проектор,4,1042,за занавеской
резиновый карта несуществующих аудиторий,17,1446,в шкафу
самообновляющийся лампа,18,4621,под потолком
оптимистичный забытый бутерброд,6,3885,в шкафу
депрессивный дрон наблюдения за лекцией,13,5346,под столом
хаотический ноутбук-призрак,19,5130,под потолком
забытый проектор,7,3285,в углу аудитории
магнитный бутылка времени,18,612,в шкафу
забытый пакет загадок,15,3096,на подоконнике
локальный дрон наблюдения за лекцией,17,2249,за занавеской
оптимистичный соковыжималка идей,20,2667,под потолком
параллельный кресло,12,4908,в коробке на подоконнике
голографический лампа,20,5157,на кафедре
квантовый дрон наблюдения за лекцией,11,794,на подоконнике
магнитный учебник по квантовой философии,6,2054,рядом с розеткой
оптимистичный коробка с голосами,14,1258,на кафедре
оптимистичный бутылка времени,14,1229,в шкафу
шумящий пылесос для мыслей,18,4086,в шкафу
квантовый учебник по квантовой философии,6,4111,рядом с розеткой
сломанный соковыжималка идей,12,3794,под столом
забытый стол,13,4069,внутри вентиляции
локальный пылесос для мыслей,14,4240,за занавеской
хаотический стул-неврастеник,16,4128,в шкафу
сингулярный бутылка времени,8,777,в углу аудитории
резиновый робот-ассистент,18,367,в углу аудитории
локальный плакат мотивации,18,1477,внутри вентиляции
магнитный бутылка времени,9,1027,внутри вентиляции
сломанный микрофон-невидимка,15,3105,внутри вентиляции
магнитный стул-неврастеник,8,1890,в углу аудитории
интерактивный плакат мотивации,12,364,на подоконнике
резиновый кресло,7,3696,
параллельный энергетический кристалл (почти работает),20,4916,за занавеской
квантовый лампа,7,3607,у доски
параллельный бутылка времени,18,586,в углу аудитории
шумящий микрофон-невидимка,11,4989,
интерактивный учебник по квантовой философии,17,2497,за занавеской
депрессивный стол,2,880,в углу аудитории
квантовый энергетический кристалл (почти работает),8,1139,в шкафу
оптимистичный забытый бутерброд,16,2738,в шкафу
интерактивный пылесос для мыслей,14,4830,под потолком
антикварный маркер,13,3802,внутри вентиляции
параллельный энергетический кристалл (почти работает),15,2379,в коробке на подоконнике
сингулярный бутылка времени,3,2781,
параллельный пылесос для мыслей,3,3855,внутри вентиляции
депрессивный ноутбук-призрак,7,3358,в коробке на подоконнике
голографический пакет загадок,11,2299,внутри вентиляции
локальный стол,11,4834,за занавеской
магнитный доска,15,496,под столом
хаотический лампа,15,1117,под столом
квантовый ноутбук-призрак,10,3604,в шкафу
параллельный маркер,9,2344,на подоконнике
шумящий дрон наблюдения за лекцией,2,3146,под потолком
резиновый учебник по квантовой философии,14,5224,за занавеской
магнитный энергетический кристалл (почти работает),1,847,у доски
квантовый маркер,19,4006,у доски
хаотический дрон наблюдения за лекцией,1,4355,под столом
депрессивный кресло,5,2914,в коробке на подоконнике
оптимистичный забытый бутерброд,3,680,
самообновляющийся кресло,12,939,в углу аудитории
квантовый кофеварка кафедры,5,1223,на подоконнике
сингулярный бутылка времени,20,4445,за занавеской
параллельный плакат мотивации,7,1444,за занавеской
хаотический стул-неврастеник,7,1340,на подоконнике
магнитный стол,19,923,
депрессивный кабель HDMI-невидимка,11,3245,в шкафу
антикварный робот-ассистент,8,2129,внутри вентиляции
голографический соковыжималка идей,1,5023,за занавеской
университетский ноутбук-призрак,20,2571,внутри вентиляции
оптимистичный карта несуществующих аудиторий,10,1645,за занавеской
локальный забытый бутерброд,13,547,на подоконнике
антикварный пульт управления хаосом,17,2074,под столом
квантовый пакет загадок,13,3058,на кафедре
шумящий кабель HDMI-невидимка,16,3547,на подоконнике
антикварный бутылка времени,1,236,в углу аудитории
сломанный доска,13,1867,внутри вентиляции
университетский пылесос для мыслей,14,2446,под потолком
квантовый маркер,9,3395,на подоконнике
университетский маркер,7,2638,в шкафу
оптимистичный пакет загадок,19,4494,за занавеской
голографический маркер,14,5368,
резиновый доска,3,2054,под потолком
сломанный плакат мотивации,10,1050,за занавеской
сингулярный кресло,5,1538,
локальный лампа,12,192,внутри вентиляции
интерактивный карта несуществующих аудиторий,6,4337,рядом с розеткой
интерактивный карта несуществующих аудиторий,4,1139,под столом
интерактивный стул-неврастеник,17,2844,на подоконнике
антикварный энергетический кристалл (почти работает),16,2254,в коробке на подоконнике
сломанный кабель HDMI-невидимка,16,4284,на кафедре
шумящий кабель HDMI-невидимка,9,1467,на подоконнике
магнитный дрон наблюдения за лекцией,8,4801,
сломанный проектор,1,4268,у доски
параллельный пульт управления хаосом,13,476,в шкафу
депрессивный доска,8,1566,рядом с розеткой
самообновляющийся стул-неврастеник,9,2133,на подоконнике
магнитный кабель HDMI-невидимка,17,4782,за занавеской
резиновый лампа,17,531,под столом
хаотический маркер,10,3384,в углу аудитории
хаотический маркер,1,2781,рядом с розеткой
голографический учебник по квантовой философии,20,1743,у доски
локальный кабель HDMI-невидимка,7,3900,
квантовый забытый бутерброд,1,4577,под потолком
параллельный забытый бутерброд,1,295,рядом с розеткой
оптимистичный дрон наблюдения за лекцией,10,111,на подоконнике
резиновый коробка с голосами,14,1780,в коробке на подоконнике
интерактивный стол,3,590,под столом
депрессивный коробка с голосами,12,1996,в коробке на подоконнике
магнитный бутылка времени,17,795,в шкафу
антикварный кофеварка кафедры,19,5320,на кафедре
квантовый стул-неврастеник,8,610,в углу аудитории
оптимистичный пакет загадок,11,2238,рядом с розеткой
резиновый робот-ассистент,3,3808,у доски
магнитный бутылка времени,5,1215,на подоконнике
хаотический плакат мотивации,11,1446,под потолком
параллельный микрофон-невидимка,7,1089,в коробке на подоконнике
интерактивный плакат мотивации,4,2625,на подоконнике
голографический дрон наблюдения за лекцией,20,1391,под столом
квантовый пакет загадок,3,1861,
оптимистичный кабель HDMI-невидимка,17,2133,под столом
шумящий робот-ассистент,1,2548,под потолком
резиновый микрофон-невидимка,4,3804,в коробке на подоконнике
магнитный стол,1,934,под столом
забытый стол,13,1920,рядом с розеткой
антикварный пылесос для мыслей,19,5263,на кафедре
сингулярный маркер,3,2220,у доски
квантовый плакат мотивации,3,5391,рядом с розеткой
хаотический доска,2,1103,в шкафу
оптимистичный стул-неврастеник,16,4801,под столом
депрессивный дрон наблюдения за лекцией,6,3235,рядом с розеткой
интерактивный лампа,9,1858,в коробке на подоконнике
резиновый доска,10,1317,в коробке на подоконнике
локальный микрофон-невидимка,2,3475,на подоконнике
квантовый кофеварка кафедры,14,2391,у доски
резиновый коробка с голосами,18,5364,под столом
параллельный энергетический кристалл (почти работает),16,3233,внутри вентиляции
университетский кабель HDMI-невидимка,11,4070,под потолком
сингулярный лампа,11,2315,на кафедре
интерактивный проектор,2,1894,в коробке на подоконнике
резиновый кабель HDMI-невидимка,6,4437,на подоконнике
резиновый дрон наблюдения за лекцией,9,2130,внутри вентиляции
оптимистичный забытый бутерброд,12,558,в шкафу
самообновляющийся забытый бутерброд,12,1542,на кафедре
параллельный энергетический кристалл (почти работает),19,331,на кафедре
забытый бутылка времени,16,1264,внутри вентиляции
локальный лампа,2,2631,на подоконнике
резиновый забытый бутерброд,1,560,внутри вентиляции
самообновляющийся проектор,20,4015,у доски
шумящий пакет загадок,11,1168,под столом
квантовый стол,4,279,внутри вентиляции
параллельный маркер,13,3089,на кафедре
голографический пакет загадок,11,927,в шкафу
депрессивный карта несуществующих аудиторий,16,1390,за занавеской
параллельный лампа,8,2699,за занавеской
оптимистичный лампа,10,4924,
шумящий стол,1,2512,
сломанный кофеварка кафедры,6,4792,на кафедре
резиновый соковыжималка идей,19,2706,на подоконнике
самообновляющийся стол,3,4164,у доски
шумящий пакет загадок,3,2941,
самообновляющийся карта несуществующих аудиторий,15,5335,под столом
резиновый ноутбук-призрак,3,2272,рядом с розеткой
сингулярный кресло,2,2202,под потолком
депрессивный карта несуществующих аудиторий,6,3689,под потолком
параллельный кофеварка кафедры,18,4139,под потолком
резиновый пульт управления хаосом,6,930,в коробке на подоконнике
голографический доска,1,703,рядом с розеткой
антикварный кресло,11,2239,в шкафу
антикварный лампа,18,3175,на подоконнике
локальный соковыжималка идей,1,2868,под потолком
депрессивный соковыжималка идей,6,1451,под столом
забытый пакет загадок,7,929,под потолком
интерактивный карта несуществующих аудиторий,10,4639,в углу аудитории
сломанный кресло,13,2045,на кафедре
квантовый пульт управления хаосом,2,4602,рядом с розеткой
антикварный стул-неврастеник,10,131,за занавеской
локальный соковыжималка идей,7,5220,на подоконнике
шумящий ноутбук-призрак,10,310,на подоконнике
голографический кресло,13,3979,в коробке на подоконнике
интерактивный дрон наблюдения за лекцией,3,4106,за занавеской
шумящий кофеварка кафедры,12,4557,под потолком
хаотический лампа,2,3126,в углу аудитории
интерактивный плакат мотивации,8,3702,в углу аудитории
квантовый доска,4,4722,на подоконнике
депрессивный микрофон-невидимка,19,2916,у доски
оптимистичный доска,17,4635,под потолком
локальный дрон наблюдения за лекцией,19,4486,у доски
антикварный учебник по квантовой философии,13,4001,
университетский коробка с голосами,19,384,за занавеской
магнитный стол,15,5181,в шкафу
забытый ноутбук-призрак,5,1469,под столом
депрессивный маркер,7,3568,за занавеской
интерактивный соковыжималка идей,11,1311,
оптимистичный маркер,18,648,под потолком
интерактивный пакет загадок,17,4622,в коробке на подоконнике
университетский энергетический кристалл (почти работает),14,201,на подоконнике
квантовый стол,19,3495,на кафедре
магнитный кресло,19,4873,на подоконнике
параллельный микрофон-невидимка,14,2443,в углу аудитории
локальный пылесос для мыслей,19,3237,на кафедре
шумящий доска,9,3975,под потолком
оптимистичный соковыжималка идей,2,1278,под потолком
резиновый энергетический кристалл (почти работает),2,2815,
параллельный робот-ассистент,1,3992,рядом с розеткой
интерактивный учебник по квантовой философии,16,2582,
квантовый забытый бутерброд,10,904,
интерактивный пакет загадок,14,3729,на кафедре
забытый маркер,15,5388,у доски
локальный карта несуществующих аудиторий,17,3435,рядом с розеткой
шумящий коробка с голосами,3,560,в углу аудитории
квантовый кофеварка кафедры,17,4251,на кафедре
забытый лампа,7,337,под столом
хаотический доска,2,2143,рядом с розеткой
параллельный робот-ассистент,15,1731,внутри вентиляции
магнитный пылесос для мыслей,1,3351,у доски
хаотический пульт управления хаосом,6,3151,в коробке на подоконнике
параллельный микрофон-невидимка,12,4907,в шкафу
антикварный карта несуществующих аудиторий,10,2218,под столом
шумящий доска,19,3266,у доски
резиновый пылесос для мыслей,7,1913,в углу аудитории
сингулярный коробка с голосами,1,3454,в коробке на подоконнике
шумящий пылесос для мыслей,20,1183,под столом
голографический робот-ассистент,9,1933,под потолком
хаотический кабель HDMI-невидимка,9,3184,у доски
университетский учебник по квантовой философии,20,3923,под потолком
сингулярный кресло,17,4888,за занавеской
голографический микрофон-невидимка,10,3165,за занавеской
антикварный пульт управления хаосом,11,985,в углу аудитории
интерактивный пакет загадок,9,5347,за занавеской
квантовый ноутбук-призрак,17,2547,у доски
оптимистичный соковыжималка идей,11,565,за занавеской
сингулярный карта несуществующих аудиторий,16,1246,в углу аудитории
оптимистичный стул-неврастеник,13,2225,
забытый бутылка времени,11,389,
локальный дрон наблюдения за лекцией,12,1921,внутри вентиляции
шумящий лампа,10,2559,на подоконнике
интерактивный стол,18,3956,в шкафу
антикварный пылесос для мыслей,8,2849,рядом с розеткой
голографический карта несуществующих аудиторий,14,1929,рядом с розеткой
голографический робот-ассистент,15,3144,на подоконнике
антикварный доска,16,3954,у доски
оптимистичный кресло,17,4199,в углу аудитории
квантовый доска,5,3484,у доски
хаотический стул-неврастеник,5,2907,рядом с розеткой
локальный маркер,11,1577,за занавеской
сломанный пакет загадок,1,1548,в коробке на подоконнике
шумящий ноутбук-призрак,19,2340,в шкафу
квантовый маркер,20,4110,под потолком
оптимистичный стул-неврастеник,14,5289,в коробке на подоконнике
сломанный проектор,18,3240,у доски
самообновляющийся проектор,17,3156,у доски
сингулярный дрон наблюдения за лекцией,8,246,у доски
квантовый учебник по квантовой философии,4,2920,под потолком
голографический бутылка времени,6,4223,на подоконнике
голографический учебник по квантовой философии,15,474,
университетский соковыжималка идей,11,4362,под потолком
локальный пакет загадок,12,1196,у доски
сингулярный кофеварка кафедры,8,1450,у доски
сингулярный ноутбук-призрак,19,1174,внутри вентиляции
параллельный кресло,2,1484,под потолком
сломанный робот-ассистент,20,5345,под столом
сингулярный пылесос для мыслей,2,985,
хаотический стул-неврастеник,13,1048,на подоконнике
локальный робот-ассистент,5,4583,у доски
голографический проектор,14,5263,за занавеской
университетский дрон наблюдения за лекцией,9,927,на кафедре
квантовый энергетический кристалл (почти работает),14,5061,на подоконнике
магнитный карта несуществующих аудиторий,10,4290,на подоконнике
забытый пульт управления хаосом,20,970,у доски
забытый коробка с голосами,12,2254,
шумящий учебник по квантовой философии,2,3456,внутри вентиляции
локальный ноутбук-призрак,11,4166,у доски
антикварный проектор,4,122,на кафедре
антикварный стол,17,4147,на подоконнике
резиновый робот-ассистент,15,929,в углу аудитории
сломанный плакат мотивации,4,2263,в шкафу
параллельный учебник по квантовой философии,11,423,под потолком
сломанный кресло,1,1049,в шкафу
параллельный пакет загадок,15,1496,на кафедре
антикварный карта несуществующих аудиторий,12,2297,рядом с розеткой
оптимистичный кресло,13,1598,в коробке на подоконнике
локальный кофеварка кафедры,14,2326,за занавеской
квантовый кресло,2,1466,в шкафу
локальный стул-неврастеник,19,949,за занавеской
оптимистичный лампа,12,3689,на кафедре
квантовый дрон наблюдения за лекцией,16,336,в коробке на подоконнике
хаотический стул-неврастеник,2,1025,на подоконнике
самообновляющийся пылесос для мыслей,1,2243,
резиновый карта несуществующих аудиторий,11,4399,внутри вентиляции
магнитный энергетический кристалл (почти работает),14,4385,за занавеской
параллельный пульт управления хаосом,13,2136,в шкафу
сломанный соковыжималка идей,1,4673,за занавеской
локальный коробка с голосами,16,1385,в шкафу
самообновляющийся пульт управления хаосом,8,713,рядом с розеткой
университетский доска,8,2378,внутри вентиляции
оптимистичный кофеварка кафедры,8,5370,на подоконнике
хаотический плакат мотивации,3,3860,в коробке на подоконнике
магнитный пакет загадок,16,3762,
оптимистичный кресло,14,245,под столом
сингулярный микрофон-невидимка,3,4664,на кафедре
голографический пылесос для мыслей,17,5171,внутри вентиляции
хаотический пылесос для мыслей,11,1794,рядом с розеткой
хаотический забытый бутерброд,11,544,внутри вентиляции
локальный соковыжималка идей,12,5177,
магнитный кресло,8,3807,под столом
голографический кабель HDMI-невидимка,18,2896,внутри вентиляции
магнитный энергетический кристалл (почти работает),2,3162,в шкафу
депрессивный стол,4,4133,в углу аудитории
забытый ноутбук-призрак,4,5104,под потолком
забытый плакат мотивации,11,1866,на подоконнике
магнитный доска,15,3495,в коробке на подоконнике
квантовый коробка с голосами,16,4927,под столом
сломанный карта несуществующих аудиторий,18,4444,под потолком
университетский пульт управления хаосом,6,4893,
квантовый лампа,4,4839,под потолком
самообновляющийся соковыжималка идей,17,5019,под потолком
резиновый соковыжималка идей,9,3529,под потолком
хаотический учебник по квантовой философии,5,2908,в шкафу
университетский соковыжималка идей,10,3481,
забытый пакет загадок,7,4587,у доски
голографический энергетический кристалл (почти работает),12,5213,за занавеской
шумящий энергетический кристалл (почти работает),17,1186,внутри вентиляции
магнитный пакет загадок,12,5317,внутри вентиляции
депрессивный бутылка времени,18,4035,в углу аудитории
университетский проектор,4,3560,под столом
сломанный стол,2,3220,у доски
голографический лампа,9,2287,в шкафу
голографический энергетический кристалл (почти работает),7,608,внутри вентиляции
хаотический кабель HDMI-невидимка,4,364,на кафедре
оптимистичный забытый бутерброд,8,4702,внутри вентиляции
сломанный энергетический кристалл (почти работает),13,2456,под потолком
самообновляющийся дрон наблюдения за лекцией,18,3512,под столом
интерактивный карта несуществующих аудиторий,7,206,на кафедре
параллельный забытый бутерброд,19,3729,внутри вентиляции
забытый ноутбук-призрак,10,5042,в коробке на подоконнике
антикварный дрон наблюдения за лекцией,6,1553,в шкафу
оптимистичный кресло,2,4309,под потолком
интерактивный микрофон-невидимка,5,2386,в шкафу
сингулярный робот-ассистент,11,4884,в коробке на подоконнике
квантовый доска,11,1368,на кафедре
голографический пылесос для мыслей,16,516,на кафедре
антикварный кабель HDMI-невидимка,11,4606,внутри вентиляции
университетский лампа,3,1901,внутри вентиляции
оптимистичный стул-неврастеник,3,1405,рядом с розеткой
самообновляющийся ноутбук-призрак,11,1912,рядом с розеткой
университетский ноутбук-призрак,16,2504,внутри вентиляции
параллельный кресло,15,172,у доски
резиновый соковыжималка идей,2,5361,за занавеской
магнитный кофеварка кафедры,13,2729,в углу аудитории
голографический карта несуществующих аудиторий,1,4525,внутри вентиляции
университетский коробка с голосами,15,3171,в коробке на подоконнике
забытый учебник по квантовой философии,11,459,внутри вентиляции
шумящий кресло,18,774,внутри вентиляции
антикварный пылесос для мыслей,7,160,за занавеской
депрессивный ноутбук-призрак,4,5256,у доски
депрессивный энергетический кристалл (почти работает),3,4505,
хаотический проектор,11,1359,под столом
сломанный маркер,6,816,в углу аудитории
резиновый маркер,9,4671,под потолком
оптимистичный плакат мотивации,14,3278,рядом с розеткой
магнитный кофеварка кафедры,18,238,под столом
антикварный карта несуществующих аудиторий,19,5354,под столом
университетский кабель HDMI-невидимка,4,694,в углу аудитории
антикварный соковыжималка идей,10,2568,в коробке на подоконнике
сингулярный кофеварка кафедры,16,3224,в шкафу
квантовый забытый бутерброд,13,4470,внутри вентиляции
квантовый пылесос для мыслей,10,2516,за занавеской
квантовый проектор,4,3156,под столом
оптимистичный бутылка времени,18,141,внутри вентиляции
забытый учебник по квантовой философии,12,797,у доски
университетский пылесос для мыслей,5,3480,в шкафу
интерактивный забытый бутерброд,7,1607,на подоконнике
сломанный дрон наблюдения за лекцией,18,1585,в коробке на подоконнике
антикварный микрофон-невидимка,10,5381,за занавеской
магнитный робот-ассистент,7,651,
самообновляющийся пульт управления хаосом,12,4856,в шкафу
голографический кресло,20,2021,на подоконнике
локальный пакет загадок,15,1685,рядом с розеткой
голографический дрон наблюдения за лекцией,19,5149,в шкафу
параллельный бутылка времени,11,4733,под потолком
самообновляющийся проектор,8,1481,у доски
интерактивный стул-неврастеник,12,5349,в шкафу
хаотический пульт управления хаосом,15,2816,рядом с розеткой
магнитный пульт управления хаосом,6,2602,за занавеской
интерактивный маркер,5,5069,внутри вентиляции
антикварный робот-ассистент,3,1709,под столом
сингулярный пылесос для мыслей,19,4254,на кафедре
забытый бутылка времени,2,3418,внутри вентиляции
локальный микрофон-невидимка,5,2234,рядом с розеткой
голографический забытый бутерброд,5,3315,в коробке на подоконнике
антикварный коробка с голосами,13,4205,рядом с розеткой
резиновый проектор,20,4213,за занавеской
квантовый коробка с голосами,15,1458,в шкафу
квантовый бутылка времени,16,1567,рядом с розеткой
локальный забытый бутерброд,8,431,на подоконнике
резиновый кабель HDMI-невидимка,2,2265,за занавеской
параллельный коробка с голосами,13,1793,в коробке на подоконнике
сломанный доска,11,3824,на подоконнике
интерактивный пылесос для мыслей,9,4371,на кафедре
шумящий бутылка времени,13,4559,за занавеской
антикварный кабель HDMI-невидимка,17,3200,в углу аудитории
университетский забытый бутерброд,13,3182,рядом с розеткой
локальный пульт управления хаосом,20,2926,под столом
хаотический стол,6,4211,у доски
интерактивный коробка с голосами,7,731,в шкафу
параллельный лампа,20,1631,
резиновый дрон наблюдения за лекцией,14,1069,рядом с розеткой
локальный пульт управления хаосом,16,1028,у доски
депрессивный лампа,1,4939,у доски
шумящий стол,5,453,за занавеской
квантовый доска,2,4299,в шкафу
университетский лампа,13,2215,на кафедре
сингулярный пылесос для мыслей,10,4717,на подоконнике
локальный плакат мотивации,16,1874,в шкафу
квантовый стул-неврастеник,19,1897,в шкафу
университетский дрон наблюдения за лекцией,9,5205,в шкафу
антикварный плакат мотивации,8,2907,под потолком
магнитный стол,1,3257,у доски
депрессивный коробка с голосами,5,4382,на кафедре
локальный лампа,20,888,на кафедре
университетский микрофон-невидимка,4,419,на подоконнике
квантовый дрон наблюдения за лекцией,20,4050,внутри вентиляции
депрессивный дрон наблюдения за лекцией,17,109,под потолком
университетский доска,14,3134,у доски
параллельный кофеварка кафедры,19,4049,
депрессивный кресло,5,4819,в углу аудитории
антикварный забытый бутерброд,10,4008,на кафедре
интерактивный стул-неврастеник,7,4554,под столом
университетский бутылка времени,4,158,внутри вентиляции
забытый кофеварка кафедры,11,158,под потолком
квантовый кресло,14,3067,за занавеской
интерактивный робот-ассистент,18,4895,под потолком
интерактивный кабель HDMI-невидимка,13,4725,у доски
локальный микрофон-невидимка,6,3485,рядом с розеткой
локальный микрофон-невидимка,9,4680,в углу аудитории
оптимистичный кабель HDMI-невидимка,5,4832,за занавеской
резиновый карта несуществующих аудиторий,15,1075,
забытый кресло,17,1425,под потолком
сломанный микрофон-невидимка,6,2872,под потолком
антикварный проектор,5,5309,в коробке на подоконнике
антикварный стул-неврастеник,3,5017,в углу аудитории
антикварный кабель HDMI-невидимка,20,1916,под столом
университетский кофеварка кафедры,10,3248,
шумящий доска,16,4994,в коробке на подоконнике
университетский ноутбук-призрак,10,187,у доски
университетский соковыжималка идей,17,375,
шумящий соковыжималка идей,2,1997,рядом с розеткой
сингулярный пылесос для мыслей,6,2059,на подоконнике
параллельный кофеварка кафедры,13,2360,под потолком
университетский ноутбук-призрак,1,4901,
голографический маркер,18,662,на кафедре
интерактивный кабель HDMI-невидимка,8,2951,на кафедре
оптимистичный плакат мотивации,19,1693,под столом
депрессивный лампа,17,2238,на подоконнике
университетский маркер,10,4676,рядом с розеткой
интерактивный коробка с голосами,18,1058,на кафедре
хаотический энергетический кристалл (почти работает),13,2149,на кафедре
самообновляющийся забытый бутерброд,15,4061,за занавеской
сингулярный бутылка времени,16,3874,на подоконнике
